Source,Target,Weight,edges_1,edges_2,edges_3,edges_4,edges_5,edges_6,edges_7
8,3,19,1,0,11,0,5,2,0
8,65,17,2,0,0,0,15,0,0
8,44,67,6,4,18,6,16,3,14
44,56,249,8,44,28,56,63,27,23
0,65,73,11,25,11,11,2,5,8
65,61,5,5,0,0,0,0,0,0
65,0,75,17,31,3,8,3,8,5
65,3,51,12,6,5,6,12,10,0
65,60,4,4,0,0,0,0,0,0
65,44,32,6,17,0,0,1,5,3
44,29,22,4,0,1,3,7,3,4
44,28,17,5,0,0,0,0,0,12
29,28,5,5,0,0,0,0,0,0
28,44,10,7,0,0,0,0,0,3
28,3,10,10,0,0,0,0,0,0
3,60,35,2,7,2,7,1,16,0
60,55,128,8,22,21,7,13,39,18
2,55,3,3,0,0,0,0,0,0
9,55,106,8,30,3,7,16,39,3
58,44,51,2,6,0,10,28,5,0
48,66,2,2,0,0,0,0,0,0
48,44,11,5,0,0,3,0,0,3
66,0,14,2,0,9,1,0,2,0
66,44,3,3,0,0,0,0,0,0
66,67,11,7,0,1,2,0,0,1
45,51,130,26,18,24,10,42,0,10
51,3,265,24,13,50,51,105,16,6
51,55,182,16,24,19,47,29,34,13
3,36,9,3,2,0,0,0,0,4
45,55,80,25,8,12,7,19,9,0
55,12,25,10,0,5,5,3,2,0
55,53,104,11,10,14,10,17,10,32
59,42,5,2,0,0,0,3,0,0
59,47,5,3,0,2,0,0,0,0
0,68,35,11,7,9,0,8,0,0
68,0,39,7,6,16,0,10,0,0
68,51,2,2,0,0,0,0,0,0
68,44,9,2,0,4,0,3,0,0
68,55,3,3,0,0,0,0,0,0
45,68,3,3,0,0,0,0,0,0
68,45,1,1,0,0,0,0,0,0
68,59,5,2,3,0,0,0,0,0
55,69,29,4,0,9,6,0,10,0
55,36,41,5,9,11,8,4,4,0
59,55,39,5,1,10,9,7,3,4
44,18,159,4,2,8,38,47,33,27
12,3,11,3,0,2,1,0,5,0
3,64,9,6,0,0,3,0,0,0
3,21,22,13,3,6,0,0,0,0
64,21,7,7,0,0,0,0,0,0
21,64,4,4,0,0,0,0,0,0
21,12,9,4,0,5,0,0,0,0
64,0,65,23,0,9,13,11,4,5
64,12,18,11,2,0,0,0,3,2
12,21,6,5,0,1,0,0,0,0
21,0,147,36,13,61,10,13,4,10
21,10,11,2,0,4,0,5,0,0
10,36,9,4,1,0,1,0,1,2
36,12,20,4,9,3,0,0,0,4
0,21,115,40,12,47,7,5,0,4
21,9,22,6,2,7,1,6,0,0
21,42,34,9,4,21,0,0,0,0
21,47,16,7,4,5,0,0,0,0
43,42,132,2,8,9,31,69,4,9
21,48,2,2,0,0,0,0,0,0
48,70,1,1,0,0,0,0,0,0
70,42,7,1,0,0,3,2,0,1
70,43,7,2,0,0,2,3,0,0
42,55,24,2,5,4,3,5,5,0
42,53,3,3,0,0,0,0,0,0
42,54,7,4,0,0,1,0,0,2
