Source,Target,Weight,edges_1,edges_2,edges_3,edges_4,edges_5,edges_6,edges_7
0,29,119,1,1,12,43,32,12,18
28,29,5,5,0,0,0,0,0,0
28,44,20,6,0,0,1,0,0,13
2,59,2,2,0,0,0,0,0,0
2,55,3,3,0,0,0,0,0,0
48,66,2,2,0,0,0,0,0,0
67,44,73,7,3,0,10,10,30,13
3,51,580,64,30,148,100,163,50,25
51,55,330,20,24,40,60,53,95,38
55,12,41,8,13,6,1,7,6,0
42,59,12,2,2,0,0,7,1,0
47,59,5,3,0,2,0,0,0,0
0,68,51,13,14,13,0,11,0,0
51,45,174,16,14,33,21,76,2,12
68,44,5,2,0,0,0,3,0,0
68,45,4,4,0,0,0,0,0,0
55,59,39,6,2,11,11,1,4,4
55,69,33,4,0,7,0,0,22,0
45,36,12,2,0,1,1,4,4,0
64,3,16,8,2,0,4,0,2,0
3,21,9,7,0,1,0,0,1,0
12,21,18,13,0,5,0,0,0,0
64,21,9,9,0,0,0,0,0,0
64,0,100,17,7,7,12,36,8,13
64,12,26,5,4,7,0,1,3,6
0,21,226,56,31,88,13,18,6,14
36,60,26,2,2,2,0,6,3,11
12,36,21,6,3,3,0,0,0,9
9,21,34,13,6,8,1,6,0,0
47,0,26,5,5,5,0,3,0,8
42,21,23,4,5,14,0,0,0,0
48,42,16,1,0,0,9,1,5,0
42,55,63,2,21,7,3,20,10,0
53,42,3,3,0,0,0,0,0,0
42,54,10,4,0,0,4,0,0,2
53,44,149,10,31,36,26,22,12,12
0,58,171,12,4,12,16,84,36,7
55,61,4,3,1,0,0,0,0,0
44,36,96,4,46,3,28,13,2,0
9,12,51,3,9,17,7,12,2,1
61,44,14,8,6,0,0,0,0,0
13,45,1,1,0,0,0,0,0,0
9,45,64,13,1,10,4,16,11,9
9,13,9,5,1,3,0,0,0,0
33,44,2,2,0,0,0,0,0,0
53,61,2,2,0,0,0,0,0,0
8,45,11,4,0,5,0,1,1,0
28,51,20,3,4,0,0,4,0,9
55,56,95,5,23,12,28,14,7,6
64,56,3,3,0,0,0,0,0,0
64,55,3,3,0,0,0,0,0,0
21,11,10,6,0,2,1,0,1,0
64,45,9,1,0,0,5,0,0,3
64,44,45,11,5,9,9,1,2,8
51,58,39,8,0,8,8,9,5,1
64,51,33,9,1,10,11,2,0,0
0,71,12,4,0,0,4,4,0,0
51,11,413,16,4,113,71,138,23,48
10,41,49,1,2,16,3,23,4,0
8,41,10,5,0,4,0,0,0,1
8,60,31,8,0,5,3,9,3,3
12,60,82,5,22,3,14,7,12,19
12,33,5,5,0,0,0,0,0,0
21,36,44,9,15,20,0,0,0,0
10,51,362,15,6,41,59,66,72,103
10,60,428,45,7,39,86,32,121,98
67,49,2,2,0,0,0,0,0,0
67,0,141,3,3,2,19,38,50,26
43,21,24,6,12,6,0,0,0,0
8,36,8,2,0,0,0,3,3,0
70,56,2,1,0,1,0,0,0,0
12,56,37,2,9,3,4,10,9,0
72,12,4,1,0,0,0,3,0,0
12,59,5,2,0,0,0,1,0,2
72,36,5,2,0,0,0,3,0,0
42,47,8,2,2,2,1,1,0,0
42,72,2,2,0,0,0,0,0,0
51,59,13,1,1,0,6,4,1,0
3,59,21,5,0,2,11,2,1,0
0,70,50,2,3,3,20,8,6,8
67,66,7,3,0,1,2,0,0,1
67,3,9,2,0,0,3,4,0,0
3,46,9,5,0,0,0,2,0,2
46,36,17,1,4,11,0,1,0,0
46,59,17,2,0,5,0,10,0,0
3,58,7,1,1,0,5,0,0,0
54,59,13,3,0,6,4,0,0,0
3,55,131,25,13,45,16,28,4,0
3,56,47,1,13,3,3,4,12,11
54,3,23,4,0,15,4,0,0,0
5,24,3,3,0,0,0,0,0,0
5,3,1,1,0,0,0,0,0,0
5,51,10,10,0,0,0,0,0,0
5,44,12,12,0,0,0,0,0,0
5,60,8,5,0,0,0,0,0,3
44,4,60,3,13,21,9,14,0,0
42,56,139,5,13,1,32,49,19,20
43,56,119,2,12,4,34,40,17,10
43,41,23,4,12,3,0,1,0,3
42,41,45,5,5,18,10,2,0,5
42,4,12,3,6,0,3,0,0,0
10,64,7,1,0,2,0,3,0,1
64,41,1,1,0,0,0,0,0,0
5,11,1,1,0,0,0,0,0,0
61,60,5,1,1,0,3,0,0,0
37,21,6,3,0,3,0,0,0,0
28,60,5,2,0,0,0,0,0,3
21,44,30,3,4,8,6,5,2,2
9,37,3,3,0,0,0,0,0,0
60,56,42,8,0,5,8,21,0,0
47,60,6,2,0,0,0,0,0,4
37,55,5,2,0,0,0,1,2,0
53,45,13,5,0,5,0,1,2,0
54,45,18,8,0,7,0,3,0,0
51,56,298,8,23,22,75,88,35,47
53,51,60,6,6,2,11,15,9,11
54,51,62,7,16,2,20,13,0,4
42,36,12,1,2,5,0,4,0,0
43,36,12,2,5,3,0,2,0,0
51,18,241,10,0,19,65,87,31,29
39,51,48,7,0,3,23,13,0,2
3,6,15,11,0,0,0,4,0,0
6,44,14,12,0,0,0,0,0,2
0,6,18,16,0,0,0,2,0,0
48,39,6,2,0,0,4,0,0,0
55,27,10,1,0,0,2,2,5,0
51,6,12,7,0,0,0,3,0,2
13,44,50,2,27,6,1,9,5,0
13,55,11,3,7,1,0,0,0,0
0,13,143,8,35,54,24,8,14,0
51,13,32,4,4,17,5,0,2,0
55,6,1,1,0,0,0,0,0,0
65,6,2,2,0,0,0,0,0,0
48,6,8,8,0,0,0,0,0,0
48,9,22,4,3,0,15,0,0,0
48,51,22,2,0,0,13,0,1,6
44,59,44,2,13,2,4,19,4,0
55,24,61,6,7,39,1,4,4,0
65,55,4,4,0,0,0,0,0,0
65,24,8,3,0,0,0,1,2,2
65,51,34,8,0,4,0,12,10,0
65,11,9,4,3,0,2,0,0,0
0,73,13,11,0,0,0,2,0,0
3,73,15,15,0,0,0,0,0,0
